time,AcX,AcY
81,-476,224
time,AcX,AcY
43,-536,264
166,-460,124
339,-476,340
464,-480,284
588,-552,260
713,-460,264
838,-536,280
963,-556,308
1088,-524,208
1212,-560,252
1337,-492,208
1462,-584,316
1587,-560,232
1712,-500,164
1837,-532,232
1961,-520,244
2086,-540,108
2219,-424,216
2343,-536,144
2468,-516,160
2593,-460,176
2718,-540,220
2881,-584,196
3006,-560,244
3131,-532,252
3256,-424,232
3380,-440,240
3505,-556,256
3630,-544,224
3755,-516,240
3879,-432,204
4004,-480,168
4129,-504,260
4251,-488,252
4376,-624,240
4501,-660,184
4626,-492,276
4751,-508,180
4876,-572,252
5001,-496,124
5126,-528,212
5250,-456,120
5412,-488,260
5537,-488,196
5662,-404,252
5787,-480,272
5912,-412,208
6037,-448,228
6162,-432,240
6287,-556,176
6412,-544,192
6536,-532,240
6661,-532,236
6786,-412,216
6910,-548,172
7035,-544,184
7160,-476,184
7285,-472,224
7410,-528,160
7535,-580,184
7660,-524,208
7784,-524,200
7947,-436,284
8072,-508,164
8197,-564,280
8322,-484,228
8446,-508,240
8574,-588,104
8699,-500,280
8824,-532,248
8949,-524,204
9081,-540,184
9206,-500,256
9331,-428,200
9456,-536,160
9581,-468,164
9706,-520,200
9831,-520,160
9956,-448,152
10080,-488,196
10205,-580,164
10330,-576,176
10492,-524,252
10617,-464,224
10742,-476,140
10867,-480,108
10992,-496,220
11117,-436,252
11242,-500,148
11367,-544,272
11492,-560,244
11617,-500,268
11742,-612,244
11867,-636,252
11992,-652,124
12116,-508,240
12241,-464,264
12366,-568,168
12491,-476,220
12619,-552,184
12744,-528,300
12869,-536,224
13032,-496,252
13157,-484,184
13282,-416,196
13407,-456,68
13532,-604,256
13657,-516,160
13782,-596,188
13906,-500,124
14031,-428,212
14156,-620,248
14281,-484,168
14406,-436,192
14531,-548,160
14656,-556,352
14781,-456,260
14906,-480,236
15031,-520,172
15156,-472,200
15281,-448,212
15406,-552,176
15568,-520,244
15693,-616,196
15818,-444,212
15951,-472,180
16075,-604,232
16200,-656,160
16325,-520,252
16450,-524,252
16575,-512,192
16700,-544,140
16823,-448,168
16948,-552,280
17073,-556,224
17198,-484,228
17323,-556,188
17447,-372,120
17572,-472,188
17697,-516,292
17822,-608,180
17947,-540,180
18110,-452,248
18235,-632,248
18360,-408,184
18485,-528,188
18610,-520,216
18735,-580,248
18860,-572,216
18984,-496,220
19109,-568,228
19234,-572,240
19359,-468,236
19484,-488,144
19609,-516,140
19734,-644,156
19859,-460,88
19983,-636,168
20108,-596,212
20233,1260,-1004
20359,-432,188
20483,-1484,1588
20646,1252,1448
20774,-2440,-5204
20899,-1072,-2392
21024,360,6156
21149,1948,1732
21274,-1356,-5620
21400,-1544,-2376
21525,-1420,6172
21650,616,2148
21775,-820,-4868
21900,-1004,-3728
22025,-2064,4956
22150,1360,232
22275,-412,-3192
22400,-328,-3708
22524,-1556,6012
22650,208,3036
22782,-88,-3384
22907,-168,-3928
23032,-1508,5328
23196,2972,104
23321,1816,-3052
23446,-1996,3704
23571,860,2076
23696,-3740,-5128
23821,-3672,-1836
23946,-1088,3552
24071,-1868,-3696
24197,-4060,-964
24322,-1996,2212
24450,-3016,-2560
24574,-5892,4212
24699,784,-2240
24824,332,-3356
24949,-1308,2752
25074,3096,-3428
25200,-1264,3736
25325,4824,-4580
25450,-1456,4180
25575,4468,-5936
25738,2660,-1520
25863,-1128,-1652
25989,3520,-1236
26114,-2740,-668
26238,3884,-4028
26363,112,2700
26488,1592,-3144
26613,1824,-1368
26738,500,-7016
26863,-5396,5012
26988,-1592,1980
27113,-2820,4492
27239,-3648,4992
27364,-5688,7056
27489,-716,4724
27614,1352,-1808
27739,2336,-5732
27864,1756,-4184
27988,-1244,2528
28118,-2696,3924
28280,-3208,2300
28405,-4008,4332
28530,-692,4652
28655,1572,-4776
28780,-368,464
28905,-480,248
29030,-432,208
29155,-476,252
29280,-512,192
29405,-496,252
29538,-484,228
29663,-492,144
29788,-584,264
29913,-544,248
30038,-468,296
30162,-468,164
30287,-460,232
30412,-496,156
30537,-552,292
30662,-400,200
30825,-552,124
30950,-436,272
31075,-440,228
31200,-504,300
31325,-444,172
31450,-500,244
31575,-416,184
31699,-484,260
31823,-496,224
31948,-536,208
32077,-532,304
32202,-508,132
32327,-552,164
32452,-540,236
32577,-492,236
32702,-560,188
32827,-448,156
32952,-452,244
33077,-544,180
33202,-604,200
33364,-456,268
33489,-604,236
33614,-536,264
33739,-528,240
