time,AcX,AcY,GyZ
5467,-664,564,43
5501,-760,12,2
5532,-420,2284,228
5567,-668,56,90
5602,-716,124,47
5649,-832,444,9
5686,-620,192,59
5733,-700,52,39
5765,-664,236,57
5817,-596,124,73
5901,-556,264,77
5932,-572,280,47
5966,-656,220,61
6001,-556,300,55
16397,-520,176,66
16447,-636,236,32
16497,-596,292,57
16547,-544,300,74
16598,-556,220,61
16627,-640,140,69
16663,-656,272,66
16698,-656,296,56
16747,-644,268,62
16778,-588,276,39
16830,-596,284,60
16863,-628,220,56
16930,-636,284,51
16980,-660,344,54
17031,-576,364,73
20262,-496,284,56
20346,-660,236,45
20397,-576,176,48
20447,-588,240,74
20497,-580,240,64
20561,-564,240,62
20612,-540,220,74
20663,-608,216,47
20713,-672,252,64
20763,-608,300,72
20813,-616,316,67
20879,-592,232,71
20929,-612,244,52
20979,-668,280,58
21062,-540,268,46
21112,-660,268,60
21163,-620,320,59
21213,-572,164,53
21263,-608,216,54
21313,-588,256,61
21379,-560,248,65
21463,-692,268,43
21513,-636,212,53
21563,-680,176,63
21597,-720,236,37
21626,-672,288,71
21661,-756,216,98
21712,-580,292,63
21763,-536,140,60
21828,-492,208,68
21878,-644,280,41
21928,-732,200,56
21979,-676,248,44
22029,-600,284,58
22079,-652,244,72
22145,-636,164,47
22195,-644,344,75
22245,-576,204,83
22295,-616,204,38
22345,-516,268,61
22395,-632,224,57
22495,-604,328,72
22545,-596,280,61
22595,-608,212,59
22645,-532,212,67
22695,-556,304,52
22746,-568,148,88
22796,-628,200,71
22827,-540,252,46
22861,-548,204,74
22912,-684,248,55
22945,-560,264,66
22995,-632,260,75
23046,-672,244,57
23096,-680,180,38
23311,-616,216,63
23361,-616,232,83
23411,-616,212,75
23512,-608,216,56
23562,-572,320,68
23612,-504,140,65
23711,-852,204,60
23761,-632,240,49
23812,-520,276,67
23862,-656,260,58
23892,-544,220,65
23946,-644,292,55
23975,-696,252,82
24010,-588,220,60
24061,-564,328,72
24112,-676,320,53
24162,-544,176,47
24212,-644,216,51
24242,-676,188,72
24278,-624,300,81
24328,-556,156,52
24378,-684,232,45
24428,-648,124,48
24462,-612,228,59
24492,-576,308,43
24527,-656,200,81
24608,-584,240,40
24644,-564,204,63
24694,-524,272,45
24744,-664,384,73
24795,-728,248,74
24825,-568,140,58
24860,-564,256,62
24895,-664,248,59
24944,-664,252,58
24994,-616,204,49
25044,-580,204,63
25075,-628,344,76
25110,-588,280,49
25178,-492,256,55
25228,-572,248,51
25259,-632,248,66
25293,-720,180,57
25344,-608,272,57
25394,-632,340,91
25444,-668,132,65
25528,-684,324,57
25559,-564,308,31
25593,-628,296,42
25644,-604,216,75
25677,-560,272,46
25728,-656,124,63
25758,-588,236,73
25794,-624,244,36
25843,-452,128,62
25891,-544,184,44
25925,-592,240,49
25994,-600,116,67
26044,-668,256,46
26094,-524,236,67
26125,-600,288,64
26160,-612,300,75
26210,-504,204,87
26258,-716,316,77
26294,-680,284,65
26344,-640,312,71
26428,-660,276,49
26493,-668,180,40
26544,-524,252,70
26594,-680,204,58
26625,-556,292,79
26659,-640,204,59
26695,-604,236,49
26744,-548,220,53
26795,-564,188,75
26824,-544,168,59
26860,-620,180,62
26927,-564,256,68
26977,-564,272,60
27028,-644,180,47
27058,-588,328,88
27092,-564,124,56
27144,-576,256,61
27194,-616,192,63
27244,-472,304,71
27294,-668,212,62
27375,-600,288,59
27410,-664,144,57
27460,-628,252,57
27511,-636,316,62
27541,-560,236,70
27576,-696,296,46
27627,-652,180,62
27677,-576,320,51
27727,-672,252,69
27778,-632,316,65
27807,-684,244,64
27843,-580,264,56
27893,-564,300,74
27943,-664,256,67
27994,-624,216,65
28024,-572,256,68
28059,-540,256,51
28109,-608,288,59
28143,-716,204,67
28174,-644,176,69
28261,-628,224,63
28291,-728,164,81
28326,-496,220,61
28377,-652,248,62
28427,-568,280,63
