time,AcX,AcY,GyZ
456,1216,-880,71
478,1068,-828,72
499,1016,-584,89
521,1216,-564,77
586,1152,-700,51
608,1028,-576,69
629,1132,-680,44
651,1080,-644,65
672,1148,-672,47
694,1008,-640,63
715,1036,-596,33
4664,1324,-1000,56
4685,828,-1532,117
4707,1148,-1144,106
4771,760,-1048,61
4793,1192,-824,78
4814,816,-856,31
4836,1180,-716,54
4857,1008,-424,84
4879,1116,-800,47
4900,984,-392,72
4922,1124,-1136,86
4943,1072,-648,56
5003,1116,-884,39
7732,676,-2356,73
7753,-1240,-3540,-253
7775,1236,-692,85
7799,1220,-1092,74
7821,1080,-1188,49
7842,1228,-816,82
7864,1348,-912,79
7885,1024,-1176,66
7946,1276,-1388,-25
7967,656,-200,-71
7989,960,-1732,-152
8010,1204,-852,5
8032,1076,-840,27
8053,1080,-864,40
8074,1020,-1236,39
8095,752,-736,49
8117,1068,-816,33
8138,972,-576,68
8202,1320,-804,81
8223,896,-860,71
8245,1048,-716,57
8266,1068,-896,59
8288,928,-780,39
8309,1204,-832,41
8331,888,-740,55
8352,968,-988,41
8374,760,-496,60
8432,1384,-560,57
8454,1164,-824,61
8475,1128,-720,73
8500,1044,-796,41
8521,1088,-812,57
8543,996,-816,55
8564,1112,-784,70
8585,1096,-764,78
8606,1136,-732,85
8666,1124,-756,70
8687,740,-980,112
8709,1192,-1264,74
8730,1200,-964,64
8752,928,-912,74
8773,900,-896,52
8795,912,-968,55
8816,980,-980,59
8838,1236,-828,70
8859,1144,-596,110
8923,956,-880,97
8944,1088,-884,54
8966,1224,-872,67
8986,708,-848,-10
9008,1028,-1376,41
9029,972,-788,46
9051,764,-1224,71
9072,912,-868,53
9094,912,-960,85
9153,932,-796,58
9175,960,-1052,66
9199,980,-1056,33
9221,524,-768,47
9242,1036,-756,65
9264,1236,-728,31
9285,836,-884,66
9307,1060,-652,77
9328,1068,-868,66
9389,1064,-672,49
9410,992,-808,39
9432,984,-720,56
9453,1092,-664,63
9474,964,-792,37
9495,1116,-792,47
9517,1076,-792,67
9538,1160,-732,63
9560,1060,-708,74
9581,1084,-840,64
9645,1148,-772,53
9666,1128,-816,45
9688,1088,-852,51
9709,1028,-720,53
9731,1104,-720,49
9751,1080,-784,72
9773,1068,-800,71
9794,976,-820,77
9816,1004,-696,64
9875,1108,-832,55
9900,1032,-696,56
9921,984,-772,59
9943,1000,-772,57
9964,1168,-800,70
9986,1000,-720,48
10007,1072,-840,53
10029,1052,-808,53
10050,976,-732,60
10109,1128,-840,65
10130,1020,-660,57
10151,1168,-764,60
10173,1020,-704,70
10194,1220,-832,63
10216,1012,-812,60
10237,1048,-812,87
10259,1076,-828,66
10280,944,-744,36
10302,904,-808,54
10365,1076,-724,77
10387,1084,-756,56
10408,1048,-732,75
10430,1144,-704,82
10451,1008,-816,70
10473,948,-748,67
10494,1232,-672,65
10516,992,-740,35
10541,1136,-736,62
10601,996,-732,71
10622,1040,-748,77
10644,1092,-764,53
10665,1028,-720,71
10687,1104,-768,70
10708,1084,-832,78
10730,1016,-864,63
10752,1056,-740,55
10772,996,-836,58
10836,1068,-720,28
10858,1024,-760,74
10880,1004,-764,57
10901,1140,-760,64
10923,1068,-740,65
10944,1096,-708,45
10966,972,-676,60
10987,1108,-788,85
11009,1132,-668,57
11030,1168,-776,85
11088,1156,-728,34
11110,1068,-752,21
11131,1200,-520,-1
11153,1024,-724,-14
11174,892,-936,-22
11196,956,-564,35
11222,948,-628,70
11242,1044,-788,69
11264,1156,-840,61
11323,1192,-536,48
11344,1088,-788,37
11366,1424,-868,74
11387,1292,-648,21
11409,1188,-756,-6
11429,1212,-856,-15
11452,1252,-1000,-80
11473,1256,-664,-194
11495,1144,-472,-262
11558,1008,-704,-316
11580,824,-636,-319
11601,836,-764,-269
11624,952,-892,-200
11645,1040,-768,-147
11667,916,-616,-89
11688,1012,-696,-41
11710,832,-768,32
11731,896,-792,135
11753,836,-748,168
11811,564,-736,785
11833,404,-760,1179
11854,140,-636,1619
11880,284,-840,2302
11901,148,-700,2909
11923,-132,-720,3539
11944,100,-832,4232
11966,8,-868,4942
11987,-92,-796,5652
12051,-24,-1052,7834
12072,-160,-1120,8594
12094,-332,-1096,9353
12116,-148,-1120,10162
12138,-136,-1460,10948
12160,-40,-1344,11682
12181,-16,-1548,12429
12203,-64,-1536,13253
12224,-164,-1564,13827
12289,696,-1884,15509
12310,464,-1880,15843
12332,104,-1664,16189
12353,288,-1712,16529
12375,768,-2088,16840
12396,588,-2332,17155
12418,376,-2156,17450
12439,80,-1896,17758
12465,1956,-2236,17947
12523,952,-2092,17713
12545,1408,-2072,17582
12566,1448,-2192,17471
12588,908,-2104,17367
12609,776,-2112,17335
12631,1404,-2176,17260
12652,1460,-2064,17137
12675,1168,-2040,17046
12696,912,-1944,16976
12718,1068,-2088,16912
12778,960,-1876,16686
12800,1132,-1896,16636
12821,1148,-1948,16580
12843,1140,-2032,16517
12864,1156,-1888,16466
12886,1084,-1864,16400
12907,1284,-1852,16316
12930,1192,-1960,16291
12951,1044,-1920,16217
13009,1256,-1780,16100
13035,1168,-1944,16061
13057,1076,-1852,15998
13078,1128,-1840,15989
13100,1080,-1864,15940
13121,1160,-1920,15904
