time,AcX,AcY,GyZ
2840,1320,3476,73
2862,8,-588,-68
2882,24,-1200,-256
2947,88,-352,-209
2967,-100,-572,-181
2989,-304,-604,-169
3010,-84,-616,-149
3031,92,-664,-135
3052,-84,-500,-154
3074,-236,-352,-140
3094,-48,-408,-112
3116,-40,-556,-65
3137,316,-120,-40
3158,-212,-824,19
3179,344,-236,33
3200,-28,-236,11
3229,36,-680,21
3270,-76,-240,39
3291,48,-456,55
3312,56,-320,81
3333,-28,-432,54
3354,84,-336,84
3375,24,-296,54
3396,104,-292,80
3467,152,-344,69
3487,-64,-276,69
3509,-40,-376,50
3533,-20,-492,58
3554,0,-460,56
3575,-24,-384,77
3596,-40,-568,76
3617,56,-400,53
3638,48,-380,48
3659,-4,-380,69
3680,20,-448,81
3701,36,-416,73
3722,-16,-444,62
3743,124,-376,67
3764,28,-464,79
3785,44,-412,58
3806,0,-332,64
3827,24,-320,61
3848,88,-376,67
3869,-56,-364,79
3928,28,-296,54
3948,60,-368,62
3970,-16,-364,88
3990,8,-380,71
4012,0,-352,59
4032,48,-496,60
4054,36,-288,79
4074,60,-452,66
4096,-32,-312,59
4116,44,-372,52
4137,0,-364,67
4158,76,-344,75
4179,-4,-344,64
,12,-364,46
4227,-48,-416,51
4248,84,-400,52
4269,-40,-360,80
4290,52,-368,62
4312,-20,-480,62
4332,-112,-484,57
4390,-224,-228,306
4411,-108,-468,436
4432,1004,-632,553
4454,72,-172,601
4474,4,-400,672
4503,-4,-332,687
4525,52,-348,680
4546,-224,-252,689
4567,184,-248,679
4588,576,-468,537
4610,964,-456,195
4630,928,-432,-320
4652,924,-168,-911
4672,1192,-88,-1620
4694,1448,-452,-2382
4715,1364,-504,-3238
4737,1512,-648,-4122
4757,1832,-516,-5124
4779,1812,-484,-6162
4800,1856,-564,-7328
4861,1904,-892,-10744
4882,1776,-1276,-11874
4903,1664,-1016,-12887
4925,1520,-1184,-13900
4946,1636,-1264,-14855
4967,1556,-1608,-15783
4988,1512,-1780,-16657
5010,1572,-1900,-17574
5031,1608,-1840,-18446
5053,1548,-2024,-19333
5073,1552,-2132,-20278
5095,1648,-2488,-21228
5116,1764,-2536,-22185
5138,1592,-3044,-23240
5158,1788,-3328,-24236
5180,2128,-3328,-25378
5201,2028,-3760,-26553
5223,1888,-4244,-27558
5243,1340,-3404,-28463
5265,804,-4268,-29072
5323,-32,-4384,-29597
5348,-356,-3676,-29552
5369,-64,-3852,-29488
5390,400,-4488,-29431
5411,16,-4560,-29358
5433,172,-4444,-29378
5454,-44,-4368,-29293
5475,-64,-4128,-29243
5496,40,-4188,-29206
5518,96,-4260,-29174
5538,72,-4356,-29133
5560,160,-4256,-29121
5581,-44,-4040,-29075
5603,116,-4140,-29035
5624,172,-4236,-29012
5645,72,-4148,-28994
5666,68,-4184,-28966
5688,44,-4104,-28915
5716,124,-4056,-28888
5738,208,-4136,-28854
5796,-8,-4260,-28770
5818,8,-4260,-28747
5838,36,-4236,-28708
5860,-120,-3960,-28664
5884,216,-3948,-28626
5906,-64,-4000,-28578
5927,-96,-4116,-28541
5948,12,-4116,-28456
5969,120,-4104,-28416
5991,-148,-3804,-28303
6012,-72,-4020,-28237
6034,-112,-4112,-28125
6054,-136,-3960,-28032
6076,-84,-3960,-27931
6097,-12,-3848,-27833
6119,-148,-3924,-27708
6140,-216,-3836,-27575
6161,-36,-3920,-27484
6182,-44,-3880,-27403
6204,-176,-3820,-27274
6262,-40,-3668,-26950
6284,-88,-3804,-26820
6304,-244,-3696,-26738
6326,-24,-3680,-26626
6347,-160,-3620,-26500
6369,-196,-3500,-26407
6393,-204,-3600,-26276
6414,-168,-3624,-26164
6435,-124,-3600,-26059
6457,-28,-3404,-25989
6478,-64,-3556,-25914
6500,-112,-3616,-25822
6520,-196,-3484,-25725
6542,-236,-3404,-25660
6563,-100,-3344,-25601
6585,112,-3472,-25540
6606,-28,-3516,-25479
6627,-36,-3416,-25419
6648,0,-3508,-25327
6670,176,-3328,-25232
6728,-104,-3356,-25102
6750,12,-3368,-24993
6770,-16,-3200,-24961
6792,108,-3172,-24903
6813,96,-3296,-24860
6835,-60,-3288,-24815
6855,-92,-3188,-24764
6877,40,-3080,-24698
6901,288,-3260,-24642
6923,112,-3240,-24610
6951,-44,-3240,-24539
6973,56,-3212,-24472
6994,52,-3132,-24429
7016,64,-3168,-24380
7036,-44,-3068,-24314
7058,0,-2924,-24243
7079,-4,-3008,-24203
7101,88,-3056,-24152
7121,36,-3072,-24102
7143,72,-2920,-24043
7201,124,-2960,-23862
7222,8,-2960,-23833
7243,12,-2728,-23740
7265,180,-2828,-23680
7286,224,-2868,-23629
7307,4,-2772,-23600
7328,-24,-2804,-23536
7350,76,-2904,-23476
7370,220,-2856,-23442
